"","separation","propensity","length","PredSS_r1_.1","PredSS_r1","PredSS_r1_1","PredSS_r2_.1","PredSS_r2","PredSS_freq_central_H","PredSS_freq_central_E","PredSS_freq_central_C","PredCN_freq_central_0","PredRCH_freq_central_0","PredRCH_freq_central_1","PredSA_freq_central_0","PredSA_freq_central_4","PredRCH_r1_.1","PredRCH_r1","PredRCH_r1_1","PredRCH_r2_.1","PredRCH_r2","PredRCH_r2_1","PredCN_r1_.1","PredCN_r1","PredCN_r1_1","PredCN_r2","PredSA_r1","PredSA_r2_.1","PredSA_r2","PredSA_r2_1","PredSS_freq_global_H","PredCN_freq_global_0","PredRCH_freq_global_0","PredRCH_freq_global_4","PredSA_freq_global_0","AA_freq_central_A","AA_freq_central_D","AA_freq_central_E","AA_freq_central_I","AA_freq_central_F","PSSM_r1_.4_A","PSSM_r1_.4_N","PSSM_r1_0_D","PSSM_r1_1_W","PSSM_r2_0_A","PSSM_central_.2_A","PSSM_central_.2_T","PSSM_central_0_H","PSSM_central_2_D","PSSM_central_2_V","class"
"2",28,-0.578292091327903,131,"C","C","C","H","H",0.741,0,0.259,0.222,0.259,0.148,0.185,0.148,"3",1,0,3,1,"3","3",1,1,0,4,3,3,"3",0.626,0.366,0.305,0,0.16,0.074,0.222,0.037,0.074,0.037,1,4,-1,-5,-2,-2,-4,1,-7,-3,"negative"
"3",128,-0.0133210157374004,184,"C","C","C","C","C",0,0.512,0.488,0.157,0.37,0.205,0.126,0.299,"3",0,0,0,0,"0","3",1,1,0,3,3,4,"4",0,0.147,0.37,0,0.13,0.063,0.024,0.063,0.087,0.016,1,-6,-1,-3,1,-1,1,1,0,-2,"negative"
"8",194,0.0916735225847155,435,"H","H","C","C","C",0.575,0,0.425,0.119,0.161,0.14,0.383,0.13,"1",3,0,3,0,"3","2",3,0,1,2,1,3,"3",0.552,0.168,0.186,0.297,0.333,0.083,0.062,0.031,0.026,0.026,-5,-5,-3,-4,-2,-3,5,0,-5,-6,"negative"
"14",29,-0.295112436192171,182,"E","C","C","H","H",0.179,0.107,0.714,0.036,0.214,0.179,0.286,0.107,"4",4,4,3,1,"1","4",4,4,1,0,0,3,"2",0.346,0.137,0.236,0.126,0.275,0.036,0.179,0.071,0.143,0.071,6,-4,9,-8,3,-5,-5,3,1,2,"negative"
"23",61,-0.368081382215582,174,"H","H","H","E","E",0.25,0.367,0.383,0.133,0.333,0.083,0.217,0.2,"3",1,0,3,3,"1","3",1,0,3,3,0,1,"3",0.282,0.155,0.316,0.121,0.224,0.067,0.067,0.083,0.05,0.1,-1,-5,-1,-4,-1,2,0,-3,1,-7,"negative"
"27",126,0.438024347506295,191,"C","C","C","C","C",0.616,0,0.384,0.256,0.352,0.136,0.176,0.288,"0",1,0,0,0,"1","3",1,1,0,3,4,4,"3",0.524,0.283,0.356,0.016,0.152,0.096,0.104,0.104,0.064,0.04,-2,0,-3,-5,-1,-3,-3,0,-3,5,"negative"
"32",121,1.15934056238624,363,"E","E","C","H","H",0.367,0.133,0.5,0.083,0.142,0.092,0.375,0.15,"4",4,4,4,4,"4","4",4,4,4,0,0,0,"0",0.267,0.143,0.201,0.284,0.298,0.058,0.083,0.067,0.075,0.033,-4,-5,-4,-4,-3,-2,-2,-3,-3,-2,"negative"
"39",147,-0.47594944256829,189,"C","C","C","H","H",0.308,0.021,0.671,0.377,0.356,0.178,0.089,0.438,"0",0,1,0,1,"3","0",1,1,2,4,4,3,"1",0.344,0.365,0.36,0,0.101,0.062,0.082,0.068,0.007,0.048,0,-3,-1,-6,-2,-2,0,1,0,0,"negative"
"55",38,1.16304154068476,85,"C","C","H","H","H",0.865,0,0.135,0.541,0.351,0.216,0.216,0.324,"0",1,0,0,1,"3","0",3,0,0,4,4,3,"0",0.894,0.435,0.341,0,0.235,0.027,0.027,0.135,0.081,0.027,0,0,-4,-4,-2,2,1,-4,0,-2,"negative"
"57",9,0.0296067540423592,66,"C","C","C","H","H",0.375,0,0.625,0,0.125,0.375,0.25,0.125,"0",0,1,3,3,"2","1",1,1,3,4,1,0,"2",0.682,0.106,0.303,0,0.212,0,0,0,0,0,0,1,-2,-5,-1,-2,-2,-3,-7,2,"negative"
