"","separation","propensity","length","PredSS_r1_.1","PredSS_r1","PredSS_r1_1","PredSS_r2_.1","PredSS_r2","PredSS_freq_central_H","PredSS_freq_central_E","PredSS_freq_central_C","PredCN_freq_central_0","PredRCH_freq_central_0","PredRCH_freq_central_1","PredSA_freq_central_0","PredSA_freq_central_4","PredRCH_r1_.1","PredRCH_r1","PredRCH_r1_1","PredRCH_r2_.1","PredRCH_r2","PredRCH_r2_1","PredCN_r1_.1","PredCN_r1","PredCN_r1_1","PredCN_r2","PredSA_r1","PredSA_r2_.1","PredSA_r2","PredSA_r2_1","PredSS_freq_global_H","PredCN_freq_global_0","PredRCH_freq_global_0","PredRCH_freq_global_4","PredSA_freq_global_0","AA_freq_central_A","AA_freq_central_D","AA_freq_central_E","AA_freq_central_I","AA_freq_central_F","PSSM_r1_.4_A","PSSM_r1_.4_N","PSSM_r1_0_D","PSSM_r1_1_W","PSSM_r2_0_A","PSSM_central_.2_A","PSSM_central_.2_T","PSSM_central_0_H","PSSM_central_2_D","PSSM_central_2_V","class"
"9",103,0.000393901995454264,327,"H","C","C","H","C",0.343,0.137,0.52,0.039,0.098,0.078,0.402,0.059,"3",2,0,3,1,"3","3",2,0,2,3,0,3,"3",0.284,0.156,0.229,0.122,0.242,0.039,0.098,0.049,0.059,0.039,-3,-3,0,-4,-1,4,-1,2,1,0,"positive"
"13",38,0.0169851971460199,97,"E","E","E","E","E",0,0.243,0.757,0.514,0.459,0.216,0,0.459,"3",3,1,1,1,"3","3",4,3,2,0,3,3,"0",0,0.381,0.423,0,0.124,0.081,0.054,0,0.054,0.027,0,1,-5,5,-2,0,4,-2,-5,-1,"negative"
"16",113,-0.649639039348611,202,"C","C","C","E","E",0.071,0.393,0.536,0.071,0.116,0.08,0.402,0.089,"0",3,3,3,4,"4","2",3,3,4,2,1,2,"0",0.139,0.074,0.203,0.183,0.277,0.08,0.071,0.036,0.054,0.036,0,-1,9,-5,-3,2,1,-1,-7,3,"negative"
"18",119,0.209386225225339,162,"C","C","C","H","H",0.61,0,0.39,0.381,0.432,0.153,0.144,0.339,"3",0,0,3,3,"1","3",0,0,3,4,2,2,"3",0.519,0.321,0.389,0.074,0.142,0.127,0.059,0.042,0.051,0.025,-4,-1,1,-2,0,-2,-1,-2,1,-2,"negative"
"28",49,0.0793413827993367,120,"C","C","C","C","C",0,0.667,0.333,0.229,0.333,0.167,0.208,0.292,"0",0,3,0,1,"1","0",0,3,3,4,4,4,"3",0,0.275,0.342,0.042,0.192,0.062,0.083,0.021,0.062,0.042,1,0,1,-2,0,-3,-2,-2,-2,0,"negative"
"37",48,-0.609454376559503,149,"C","C","C","C","C",0.362,0.255,0.383,0.213,0.319,0.128,0.234,0.234,"3",4,3,3,1,"0","4",3,3,2,3,0,3,"4",0.315,0.208,0.322,0.094,0.215,0.064,0.043,0.043,0.064,0.043,-6,5,3,0,-1,-2,-2,2,-7,1,"positive"
"43",159,-0.295112436192171,620,"C","C","H","E","E",0.057,0.38,0.563,0.215,0.342,0.089,0.165,0.323,"0",1,0,3,3,"3","1",1,0,3,3,1,3,"0",0.068,0.145,0.274,0.144,0.177,0.076,0.07,0.076,0.051,0.044,2,-2,5,-6,-3,-1,0,-1,0,3,"negative"
"44",31,-0.210874394342964,322,"C","H","H","H","H",0.7,0,0.3,0.167,0.167,0.1,0.467,0.133,"4",4,3,4,4,"4","4",4,4,4,0,0,1,"0",0.5,0.14,0.177,0.283,0.345,0.033,0.033,0.1,0.067,0.067,-1,-3,-6,-7,-4,-3,-4,-5,3,-3,"negative"
"66",146,-0.296751891098694,157,"X","C","C","C","C",0.29,0.317,0.393,0.241,0.29,0.172,0.2,0.276,"X",0,0,0,3,"0","X",0,0,3,4,4,1,"4",0.268,0.274,0.312,0.083,0.191,0.048,0.034,0.097,0.055,0.069,0,0,1,-3,0,1,0,1,0,-2,"negative"
"79",17,0.776277230345155,54,"E","E","E","E","E",0,0.312,0.688,0.188,0.312,0.125,0.062,0.188,"3",3,3,3,3,"3","4",4,3,4,0,1,1,"3",0,0.13,0.315,0.019,0.148,0.062,0,0.125,0,0,0,2,-5,8,-3,-2,-2,-3,2,-2,"positive"
